intent,actor,turn,text
150.1,Chris,,"Oh, so it has to be from the story"
150.1,Chris,,So I have to find the equipment in the story
150.1,Chris,,"I mean, I know stuff about speaks to like Luis I went to NASA"
150.1,Chris,," So I know that our scientists use a lot of equipment like oxygen tanks in masks in suits, but I just don't know which equipment they use to, to, to find the water or, I guess, discover water on the moon"
150.1,Chris,,"Um, so I said that scientists found craters full of water"
150.1,Chris,,Okay
150.1,Chris,,"Yeah, I think that's a little clearer"
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,I went to NASA
150.1,Chris,,"Okay, I guess it's not a question"
150.1,Chris,, They don't have to carry it on the ships anymore
150.1,Chris,,"Um, yeah"
150.1,Chris,, So it's good
150.1,Chris,, So I said that water is heavy
150.1,Chris,,Okay
150.1,Chris,," Well, I went to NASA"
150.1,Chris,, And I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,Okay
150.1,Chris,,So I was saying basically that there were craters like full of water on all this water
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,, Okay
150.1,Chris,," Teacher, I went to NASA"
150.1,Chris,,Better
150.1,Chris,, Okay
150.1,Chris,,I want to NASA
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits to
150.1,Chris,," I do remember, um, I thought that there was like a bunch of water in the craters"
150.1,Chris,," Um, but I did have a quick question"
150.1,Chris,,"No, I do"
150.1,Chris,,"Yeah, like why that's not like the answer"
150.1,Chris,,"Oh yeah it's Chris, I don't really have a question about the microscope, but I have another question"
150.1,Chris,," Um, should I save it?"
150.1,Chris,,"Yeah, it does"
150.1,Chris,," I know a lot about equipment, but I didn't see that part"
150.1,Chris,,I went to NASA
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks in suits to
150.1,Chris,,yeah yeah yeah yeah I think
150.1,Chris,,"It's not so much confused, but I went to NASA"
150.1,Chris,, So I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,"Yeah, so I went to NASA"
150.1,Chris,, So I know that it is used a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,harvard
150.1,Chris,,edu: I think it was what you had said before about wanting us to to just add more add more
150.1,Chris,,teachtoreacheveryreader@gse
150.1,Chris,,"Yeah, because a machine is equipment"
150.1,Chris,," So I know that scientists use a lot of equipment like oxygen tanks and masks and shoots, um, lots and lots of different equipment"
150.1,Chris,,"Oh, I, I went to NASA"
150.1,Chris,,teachtoreacheveryreader@gse
150.1,Chris,,harvard
150.1,Chris,,"edu: Well, I need a two on underline just equipment right"
150.1,Chris,,Um so it is correct that they found craters full of water on the moon
150.1,Chris,,"Oh so it's like a like maybe they weren't astronauts up there, like Maybe it was a like a NASA they call it an unmanned pro"
150.1,Chris,," Okay, I'm gonna read it and see"
150.1,Chris,,Okay
150.1,Chris,,Ok so I found a small machine
150.1,Chris,,"Um, saying more about why it would be valuable"
150.1,Chris,,yeah that makes a lot
150.1,Chris,,"So I kind of was just well Okay, so I was thinking about that I went to NASA so I, like you were saying, I know that scientists use a lot of equipment"
150.1,Chris,,teachtoreacheveryreader@gse
150.1,Chris,,edu: I worked at NASA so I know that scientists use a lot of equipment like oxygen tanks and masks and suits
150.1,Chris,,harvard
150.1,Chris,,"Well, I guess the thing that I was thinking was kind of what Luis was saying before, I still have a question about it because I went to NASA with my dad"
150.1,Chris,,"yeah yeah it did okay I bought my answer, I did all pull some information from the text"
150.1,Chris,,"Okay, this one isn't a question, but now i'm just all thinking about my answer"
150.1,Chris,, OK
150.1,Chris,, Yeah
150.1,Chris,,OK
150.1,Chris,,OK
150.1,Chris,, I think I got it
150.1,Chris,," Because I went to NASA with my dad, so I do know about the Mars Rover and other things, too"
150.1,Chris,,"Yeah, yeah"
150.1,Chris,,"It's not so much a question, but remember how I was telling you about how I went to NASA with my dad? So yeah, I went to NASA and so I know that scientists use a lot of equipment like oxygen tanks and masks and suits, too"
150.1,Chris,,"Okay, yeah, I'll look for all look for some new stuff"
150.1,Chris,,"Well, I'm sure because because I went to NASA"
