rerid,speaker,intent,text
1,Teacher,100,student student answer around think there multiple answers here right we've identified equipment actually 
1,Teacher,100,student well that's great thing answer multiple answers sometimes want circle many 
1,Teacher,100,student didn't wrong 
1,Teacher,100,student student right 
1,Teacher,100,student didn't wrong 
1,Teacher,100,only person student only person said valuable kind told thought valuable 
1,Teacher,100,student okay definitely need oxygen when space don't because don't oxygen there like here 
1,Teacher,100,student student student answer wrong 
1,Teacher,100,student need microscope able 
1,Teacher,100,student true could there's enough water 
1,Teacher,100,well student don't think student answer wrong sweetheart 
1,Teacher,100,student student answer wrong honey student student right 
1,Teacher,100,student scientists found crater full water moon absolutely correct 
1,Teacher,100,student want back student answer need scientific tool called microscope look really closely very very true 
1,Teacher,100,student looking equipment definitely found crater full water 
1,Teacher,100,student like connection made there right 
1,Teacher,100,student thank that's great glad could clarify 
1,Teacher,100,student that's right weren't wrong 
1,Teacher,100,student would probably need microscope they're going test water 
1,Teacher,100,student orbiter good okay said said small machine student exactly right here 
1,Teacher,100,student don't student answer isn't wrong 
1,Teacher,100,guys said scientific tool called microscope which that's answering question right 
1,Teacher,100,student equipment don't 
1,Teacher,100,yeah there's usually passage guys read didn't equipment used very very right that's good connection student good 
1,Teacher,100,student okay i've microscope really closely 
1,Teacher,100,student student answer wrong student right used microscope look very closely okay student right about 
1,Teacher,100,student right small machine correct 
1,Teacher,100,student right back look text equipment space correct 
1,Teacher,100,student exactly that's text very good looking text pulling awesome 
1,Teacher,100,student once look student nasa send small machine which correct about well 
1,Teacher,100,student exactly exactly think three read question understood text 
1,Teacher,100,student right correct 
1,Teacher,100,text very good finding pulling text student 
1,Teacher,100,think whatthink guys read text understood text 
1,Teacher,100,student student answer wrong student answer right because talking student answer especially talking about equipment said need some microscope look water moon right 
1,Teacher,100,student very good that's very good answer 
1,Teacher,100,actually oxygen things there moon discover water that's something really goodthank student 
1,Teacher,100,student microscope very good very good there other equipment no ice there other microscope 
1,Teacher,100,absolutely absolutely guys seem hitting 
1,Teacher,100,think student really well kind identifying part haven't talked much about that's know found crater full water moon 
1,Teacher,100,important part very good identifying kind like main idea article reading just question might necessarily trying there student talk 
1,Teacher,100,student discovered water right nose 
1,Teacher,100,student would better answers question wanted make sure perfect might include 
1,Teacher,100,student closer there like growth definitely getting closer there starting student sort response need right 
1,Teacher,100,student right good that's what trying really want look specific about what student trying look when respond something right 
1,Teacher,100,student small machine right perfect what small machine called 
1,Teacher,100,student student both right which good thing that's great about working groups participate contribute 
1,Teacher,100,right here where couldn't because wouldn't ability look closely student good couldn't moon without student student both right just didn't the-- 
1,Teacher,100,student well good liked student answers scientist found crater full water moon using what 
1,Teacher,100,student absolutely correct errors very valuable when student talking about space raft because takes force stuff right don't heavy water 
1,Teacher,100,okay student student answer wrong 
1,Teacher,100,student earlier asked didn't understand student answer wrong student answer never wrong 's original answer scientist 
1,Teacher,100,student that's very good point would need something help find what looking when looking water 
